ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,47.4,1,95,46.3
NY-003,Allegany County,New York,45.6,0.8,92,44.8
NY-005,Bronx County,New York,55.3,2.7,113,52.6
NY-007,Broome County,New York,46.5,0.8,92,45.7
NY-009,Cattaraugus County,New York,45.4,0.7,84,44.7
NY-011,Cayuga County,New York,46.5,0.4,78,46.1
NY-013,Chautauqua County,New York,46.3,0.4,75,45.9
NY-015,Chemung County,New York,46.5,0.6,83,45.9
NY-017,Chenango County,New York,45.2,0.8,91,44.4
NY-019,Clinton County,New York,43.1,1.3,102,41.8
NY-021,Columbia County,New York,48.7,1.6,105,47.1
NY-023,Cortland County,New York,44.7,0.5,82,44.2
NY-025,Delaware County,New York,44.7,0.9,93,43.8
NY-027,Dutchess County,New York,50.2,2.4,113,47.8
NY-029,Erie County,New York,47.2,1,94,46.2
NY-031,Essex County,New York,41.5,1.1,96,40.4
NY-033,Franklin County,New York,41.7,1.4,102,40.3
NY-035,Fulton County,New York,44.4,0.7,88,43.7
NY-037,Genesee County,New York,47.5,1.4,101,46
NY-039,Greene County,New York,46.1,1.1,98,45
NY-041,Hamilton County,New York,40.8,1,99,39.8
NY-043,Herkimer County,New York,42.9,1.1,100,41.8
NY-045,Jefferson County,New York,45,1.4,102,43.6
NY-047,Kings County,New York,55.9,2.8,116,53
NY-049,Lewis County,New York,42.4,1.2,99,41.3
NY-051,Livingston County,New York,47.4,1.1,95,46.3
NY-053,Madison County,New York,45,0.9,91,44.1
NY-055,Monroe County,New York,48.5,1.6,105,46.9
NY-057,Montgomery County,New York,46.6,0.6,88,45.9
NY-059,Nassau County,New York,54.7,2.8,115,51.9
NY-061,New York County,New York,55.7,2.8,115,52.9
NY-063,Niagara County,New York,48.1,1.1,98,47
NY-065,Oneida County,New York,45,1,97,44
NY-067,Onondaga County,New York,46.5,0.7,87,45.7
NY-069,Ontario County,New York,47.1,0.8,88,46.3
NY-071,Orange County,New York,49.9,2,110,47.9
NY-073,Orleans County,New York,48,1.4,101,46.6
NY-075,Oswego County,New York,46,1.1,98,44.9
NY-077,Otsego County,New York,44.7,0.7,91,44
NY-079,Putnam County,New York,50.6,2.3,111,48.3
NY-081,Queens County,New York,55.5,2.8,116,52.7
NY-083,Rensselaer County,New York,47.2,1.5,106,45.7
NY-085,Richmond County,New York,55.7,2.9,116,52.8
NY-087,Rockland County,New York,52.1,2.4,111,49.7
NY-089,St. Lawrence County,New York,43.4,1.6,102,41.8
NY-091,Saratoga County,New York,46.2,1.3,102,44.9
NY-093,Schenectady County,New York,47.1,1.1,100,45.9
NY-095,Schoharie County,New York,44.9,0.5,82,44.5
NY-097,Schuyler County,New York,46.2,0.7,81,45.5
NY-099,Seneca County,New York,47.3,0.3,72,47
NY-101,Steuben County,New York,45.9,0.7,85,45.2
NY-103,Suffolk County,New York,52.7,2.4,112,50.3
NY-105,Sullivan County,New York,46.5,1.3,100,45.2
NY-107,Tioga County,New York,46.4,0.6,81,45.8
NY-109,Tompkins County,New York,45.8,0.2,71,45.6
NY-111,Ulster County,New York,47.8,1.8,108,46
NY-113,Warren County,New York,43.7,1.4,101,42.3
NY-115,Washington County,New York,46.4,1.9,107,44.5
NY-117,Wayne County,New York,47.5,0.9,87,46.7
NY-119,Westchester County,New York,52.4,2.4,110,50
NY-121,Wyoming County,New York,45.8,1.2,97,44.7
NY-123,Yates County,New York,47,0.8,87,46.2
