ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,48.7,2.3,117,46.3
NY-003,Allegany County,New York,47.1,2.4,118,44.8
NY-005,Bronx County,New York,56.1,3.4,121,52.6
NY-007,Broome County,New York,47.4,1.7,110,45.7
NY-009,Cattaraugus County,New York,47.2,2.4,120,44.7
NY-011,Cayuga County,New York,48,1.9,110,46.1
NY-013,Chautauqua County,New York,48.4,2.4,118,45.9
NY-015,Chemung County,New York,48.5,2.6,121,45.9
NY-017,Chenango County,New York,46.5,2.1,113,44.4
NY-019,Clinton County,New York,44.5,2.7,118,41.8
NY-021,Columbia County,New York,49.5,2.4,113,47.1
NY-023,Cortland County,New York,46,1.8,109,44.2
NY-025,Delaware County,New York,45.8,2,114,43.8
NY-027,Dutchess County,New York,50.4,2.7,114,47.8
NY-029,Erie County,New York,49.1,2.9,122,46.2
NY-031,Essex County,New York,42.8,2.4,115,40.4
NY-033,Franklin County,New York,42.9,2.6,114,40.3
NY-035,Fulton County,New York,45.6,1.9,113,43.7
NY-037,Genesee County,New York,49,2.9,121,46
NY-039,Greene County,New York,47.1,2.1,112,45
NY-041,Hamilton County,New York,41.8,2,110,39.8
NY-043,Herkimer County,New York,43.7,1.9,110,41.8
NY-045,Jefferson County,New York,46.1,2.5,114,43.6
NY-047,Kings County,New York,56.3,3.3,120,53
NY-049,Lewis County,New York,43.6,2.3,114,41.3
NY-051,Livingston County,New York,49,2.7,119,46.3
NY-053,Madison County,New York,46.2,2.1,110,44.1
NY-055,Monroe County,New York,50,3.1,123,46.9
NY-057,Montgomery County,New York,47.6,1.7,108,45.9
NY-059,Nassau County,New York,55.4,3.4,122,51.9
NY-061,New York County,New York,56.3,3.4,121,52.9
NY-063,Niagara County,New York,50.4,3.4,126,47
NY-065,Oneida County,New York,46.1,2.1,110,44
NY-067,Onondaga County,New York,47.7,2,110,45.7
NY-069,Ontario County,New York,48.7,2.4,116,46.3
NY-071,Orange County,New York,50.8,2.9,119,47.9
NY-073,Orleans County,New York,49.6,3,123,46.6
NY-075,Oswego County,New York,47.4,2.4,115,44.9
NY-077,Otsego County,New York,45.7,1.7,111,44
NY-079,Putnam County,New York,51,2.7,116,48.3
NY-081,Queens County,New York,56,3.3,121,52.7
NY-083,Rensselaer County,New York,48.6,2.9,121,45.7
NY-085,Richmond County,New York,56.2,3.4,121,52.8
NY-087,Rockland County,New York,52.8,3.1,120,49.7
NY-089,St. Lawrence County,New York,44.6,2.7,115,41.8
NY-091,Saratoga County,New York,47.6,2.7,120,44.9
NY-093,Schenectady County,New York,48.3,2.3,116,45.9
NY-095,Schoharie County,New York,46.1,1.6,108,44.5
NY-097,Schuyler County,New York,48.1,2.5,118,45.5
NY-099,Seneca County,New York,48.9,1.9,110,47
NY-101,Steuben County,New York,47.5,2.3,118,45.2
NY-103,Suffolk County,New York,53.6,3.2,120,50.3
NY-105,Sullivan County,New York,47.8,2.6,117,45.2
NY-107,Tioga County,New York,47.8,2,111,45.8
NY-109,Tompkins County,New York,47.5,1.9,109,45.6
NY-111,Ulster County,New York,48.6,2.6,115,46
NY-113,Warren County,New York,44.8,2.5,119,42.3
NY-115,Washington County,New York,47.5,2.9,120,44.5
NY-117,Wayne County,New York,48.5,1.8,110,46.7
NY-119,Westchester County,New York,53.3,3.3,121,50
NY-121,Wyoming County,New York,47.4,2.8,120,44.7
NY-123,Yates County,New York,48.7,2.5,118,46.2
