ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,46.2,-0.1,47,46.3
NY-003,Allegany County,New York,44,-0.8,24,44.8
NY-005,Bronx County,New York,53.5,0.9,86,52.6
NY-007,Broome County,New York,45.1,-0.6,33,45.7
NY-009,Cattaraugus County,New York,43.6,-1.1,17,44.7
NY-011,Cayuga County,New York,45.4,-0.7,26,46.1
NY-013,Chautauqua County,New York,44.8,-1.1,17,45.9
NY-015,Chemung County,New York,45,-0.8,22,45.9
NY-017,Chenango County,New York,44.2,-0.2,40,44.4
NY-019,Clinton County,New York,42.1,0.3,61,41.8
NY-021,Columbia County,New York,47.4,0.3,71,47.1
NY-023,Cortland County,New York,43.6,-0.6,32,44.2
NY-025,Delaware County,New York,43.5,-0.3,40,43.8
NY-027,Dutchess County,New York,48.7,0.9,94,47.8
NY-029,Erie County,New York,45.6,-0.6,31,46.2
NY-031,Essex County,New York,40.6,0.2,61,40.4
NY-033,Franklin County,New York,40.9,0.6,74,40.3
NY-035,Fulton County,New York,43.5,-0.2,43,43.7
NY-037,Genesee County,New York,45.9,-0.2,44,46
NY-039,Greene County,New York,44.9,-0.1,49,45
NY-041,Hamilton County,New York,39.8,0.1,55,39.8
NY-043,Herkimer County,New York,41.8,0.1,54,41.8
NY-045,Jefferson County,New York,44.3,0.7,88,43.6
NY-047,Kings County,New York,53.9,0.9,86,53
NY-049,Lewis County,New York,41.6,0.3,67,41.3
NY-051,Livingston County,New York,46,-0.4,41,46.3
NY-053,Madison County,New York,44.2,0.1,51,44.1
NY-055,Monroe County,New York,47.2,0.3,71,46.9
NY-057,Montgomery County,New York,45.6,-0.3,42,45.9
NY-059,Nassau County,New York,52.9,1,90,51.9
NY-061,New York County,New York,53.8,1,88,52.9
NY-063,Niagara County,New York,46.6,-0.4,41,47
NY-065,Oneida County,New York,44.1,0.1,53,44
NY-067,Onondaga County,New York,45.6,-0.1,50,45.7
NY-069,Ontario County,New York,46,-0.4,41,46.3
NY-071,Orange County,New York,48.5,0.6,81,47.9
NY-073,Orleans County,New York,46.6,0,54,46.6
NY-075,Oswego County,New York,45.2,0.2,60,44.9
NY-077,Otsego County,New York,43.7,-0.3,42,44
NY-079,Putnam County,New York,49.2,0.9,93,48.3
NY-081,Queens County,New York,53.6,0.9,84,52.7
NY-083,Rensselaer County,New York,46.1,0.4,71,45.7
NY-085,Richmond County,New York,53.6,0.8,87,52.8
NY-087,Rockland County,New York,50.6,0.9,89,49.7
NY-089,St. Lawrence County,New York,42.6,0.8,81,41.8
NY-091,Saratoga County,New York,45.3,0.4,77,44.9
NY-093,Schenectady County,New York,46,0,59,45.9
NY-095,Schoharie County,New York,44,-0.5,31,44.5
NY-097,Schuyler County,New York,44.8,-0.7,25,45.5
NY-099,Seneca County,New York,46.2,-0.8,23,47
NY-101,Steuben County,New York,44.3,-0.8,21,45.2
NY-103,Suffolk County,New York,51.6,1.2,97,50.3
NY-105,Sullivan County,New York,45,-0.2,45,45.2
NY-107,Tioga County,New York,45,-0.9,22,45.8
NY-109,Tompkins County,New York,44.5,-1,13,45.6
NY-111,Ulster County,New York,46.3,0.2,60,46
NY-113,Warren County,New York,42.8,0.5,78,42.3
NY-115,Washington County,New York,45.3,0.8,86,44.5
NY-117,Wayne County,New York,46.5,-0.1,47,46.7
NY-119,Westchester County,New York,50.8,0.8,87,50
NY-121,Wyoming County,New York,44.1,-0.6,33,44.7
NY-123,Yates County,New York,45.7,-0.5,33,46.2
