ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,50.5,4.2,129,46.3
NY-003,Allegany County,New York,48.9,4.1,129,44.8
NY-005,Bronx County,New York,57,4.4,129,52.6
NY-007,Broome County,New York,49.5,3.8,130,45.7
NY-009,Cattaraugus County,New York,48.3,3.6,128,44.7
NY-011,Cayuga County,New York,50.2,4.1,130,46.1
NY-013,Chautauqua County,New York,49.6,3.7,127,45.9
NY-015,Chemung County,New York,49.7,3.8,129,45.9
NY-017,Chenango County,New York,48.5,4.1,130,44.4
NY-019,Clinton County,New York,45.9,4.2,129,41.8
NY-021,Columbia County,New York,51.6,4.6,130,47.1
NY-023,Cortland County,New York,48.2,4,130,44.2
NY-025,Delaware County,New York,48.2,4.4,130,43.8
NY-027,Dutchess County,New York,52.6,4.9,130,47.8
NY-029,Erie County,New York,50.6,4.4,129,46.2
NY-031,Essex County,New York,45,4.6,130,40.4
NY-033,Franklin County,New York,44.9,4.6,129,40.3
NY-035,Fulton County,New York,47.7,4,130,43.7
NY-037,Genesee County,New York,50.6,4.5,130,46
NY-039,Greene County,New York,49.3,4.3,130,45
NY-041,Hamilton County,New York,44.1,4.3,129,39.8
NY-043,Herkimer County,New York,45.9,4.2,129,41.8
NY-045,Jefferson County,New York,48.6,5,130,43.6
NY-047,Kings County,New York,57.4,4.3,129,53
NY-049,Lewis County,New York,45.9,4.6,129,41.3
NY-051,Livingston County,New York,50.6,4.3,129,46.3
NY-053,Madison County,New York,48.5,4.4,130,44.1
NY-055,Monroe County,New York,51.5,4.7,130,46.9
NY-057,Montgomery County,New York,49.8,3.9,130,45.9
NY-059,Nassau County,New York,56.3,4.3,129,51.9
NY-061,New York County,New York,57.3,4.4,128,52.9
NY-063,Niagara County,New York,51.6,4.6,130,47
NY-065,Oneida County,New York,48.3,4.3,129,44
NY-067,Onondaga County,New York,50.2,4.5,129,45.7
NY-069,Ontario County,New York,50.7,4.4,130,46.3
NY-071,Orange County,New York,52.4,4.5,130,47.9
NY-073,Orleans County,New York,51,4.4,130,46.6
NY-075,Oswego County,New York,49.7,4.7,129,44.9
NY-077,Otsego County,New York,47.9,3.9,130,44
NY-079,Putnam County,New York,52.9,4.6,130,48.3
NY-081,Queens County,New York,57,4.3,129,52.7
NY-083,Rensselaer County,New York,50.2,4.5,129,45.7
NY-085,Richmond County,New York,57.3,4.6,128,52.8
NY-087,Rockland County,New York,54.3,4.5,129,49.7
NY-089,St. Lawrence County,New York,46.7,4.9,129,41.8
NY-091,Saratoga County,New York,49.3,4.4,129,44.9
NY-093,Schenectady County,New York,50.1,4.1,129,45.9
NY-095,Schoharie County,New York,48.4,4,130,44.5
NY-097,Schuyler County,New York,49.4,3.9,129,45.5
NY-099,Seneca County,New York,51,4,130,47
NY-101,Steuben County,New York,48.9,3.8,129,45.2
NY-103,Suffolk County,New York,54.9,4.5,130,50.3
NY-105,Sullivan County,New York,49.5,4.3,130,45.2
NY-107,Tioga County,New York,49.6,3.7,130,45.8
NY-109,Tompkins County,New York,49.5,4,130,45.6
NY-111,Ulster County,New York,50.5,4.5,130,46
NY-113,Warren County,New York,46.9,4.6,130,42.3
NY-115,Washington County,New York,49.4,4.8,130,44.5
NY-117,Wayne County,New York,51.1,4.5,130,46.7
NY-119,Westchester County,New York,54.6,4.6,129,50
NY-121,Wyoming County,New York,49,4.3,129,44.7
NY-123,Yates County,New York,50.3,4.1,130,46.2
