ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,47.2,0.8,91,46.3
NY-003,Allegany County,New York,46,1.2,101,44.8
NY-005,Bronx County,New York,55,2.4,109,52.6
NY-007,Broome County,New York,46.1,0.5,76,45.7
NY-009,Cattaraugus County,New York,45.9,1.2,99,44.7
NY-011,Cayuga County,New York,46.1,-0,55,46.1
NY-013,Chautauqua County,New York,47.3,1.4,102,45.9
NY-015,Chemung County,New York,47.1,1.2,99,45.9
NY-017,Chenango County,New York,45,0.6,83,44.4
NY-019,Clinton County,New York,42.4,0.6,78,41.8
NY-021,Columbia County,New York,48.2,1.1,98,47.1
NY-023,Cortland County,New York,44.5,0.3,71,44.2
NY-025,Delaware County,New York,44.4,0.6,82,43.8
NY-027,Dutchess County,New York,49.8,2,109,47.8
NY-029,Erie County,New York,47.1,0.8,90,46.2
NY-031,Essex County,New York,40.6,0.2,61,40.4
NY-033,Franklin County,New York,40.8,0.6,74,40.3
NY-035,Fulton County,New York,44,0.3,75,43.7
NY-037,Genesee County,New York,46.4,0.4,73,46
NY-039,Greene County,New York,45.8,0.7,86,45
NY-041,Hamilton County,New York,40.1,0.3,65,39.8
NY-043,Herkimer County,New York,42,0.2,69,41.8
NY-045,Jefferson County,New York,44.1,0.5,79,43.6
NY-047,Kings County,New York,55.5,2.4,110,53
NY-049,Lewis County,New York,41.9,0.6,82,41.3
NY-051,Livingston County,New York,47.2,0.9,91,46.3
NY-053,Madison County,New York,44.8,0.7,84,44.1
NY-055,Monroe County,New York,47.4,0.5,77,46.9
NY-057,Montgomery County,New York,46,0.1,61,45.9
NY-059,Nassau County,New York,54.3,2.3,109,51.9
NY-061,New York County,New York,55.4,2.5,111,52.9
NY-063,Niagara County,New York,47.3,0.3,72,47
NY-065,Oneida County,New York,44.5,0.5,75,44
NY-067,Onondaga County,New York,46.2,0.5,79,45.7
NY-069,Ontario County,New York,46.7,0.4,72,46.3
NY-071,Orange County,New York,49.8,1.9,108,47.9
NY-073,Orleans County,New York,46.8,0.2,65,46.6
NY-075,Oswego County,New York,45.5,0.6,83,44.9
NY-077,Otsego County,New York,44,0.1,56,44
NY-079,Putnam County,New York,50.5,2.2,110,48.3
NY-081,Queens County,New York,54.9,2.2,109,52.7
NY-083,Rensselaer County,New York,47,1.3,100,45.7
NY-085,Richmond County,New York,55.6,2.8,116,52.8
NY-087,Rockland County,New York,52.1,2.4,111,49.7
NY-089,St. Lawrence County,New York,42.4,0.5,74,41.8
NY-091,Saratoga County,New York,45.9,1,94,44.9
NY-093,Schenectady County,New York,46.8,0.8,92,45.9
NY-095,Schoharie County,New York,44.5,0,58,44.5
NY-097,Schuyler County,New York,46.3,0.8,86,45.5
NY-099,Seneca County,New York,46.9,-0,54,47
NY-101,Steuben County,New York,46.2,1,97,45.2
NY-103,Suffolk County,New York,52.6,2.3,109,50.3
NY-105,Sullivan County,New York,46.7,1.5,106,45.2
NY-107,Tioga County,New York,46.4,0.6,81,45.8
NY-109,Tompkins County,New York,45.7,0.1,64,45.6
NY-111,Ulster County,New York,47.4,1.4,101,46
NY-113,Warren County,New York,42.9,0.7,85,42.3
NY-115,Washington County,New York,45.6,1.1,98,44.5
NY-117,Wayne County,New York,46.4,-0.3,41,46.7
NY-119,Westchester County,New York,52.5,2.5,112,50
NY-121,Wyoming County,New York,45.6,0.9,91,44.7
NY-123,Yates County,New York,46.7,0.5,79,46.2
