ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
NY-001,Albany County,New York,46.9,0.6,82,46.3
NY-003,Allegany County,New York,44.4,-0.4,44,44.8
NY-005,Bronx County,New York,53.7,1,94,52.6
NY-007,Broome County,New York,45.9,0.2,63,45.7
NY-009,Cattaraugus County,New York,44.5,-0.2,51,44.7
NY-011,Cayuga County,New York,46.3,0.2,65,46.1
NY-013,Chautauqua County,New York,45.9,0,59,45.9
NY-015,Chemung County,New York,45.7,-0.2,51,45.9
NY-017,Chenango County,New York,44.8,0.3,73,44.4
NY-019,Clinton County,New York,42.5,0.7,83,41.8
NY-021,Columbia County,New York,48.1,1,95,47.1
NY-023,Cortland County,New York,44.5,0.2,62,44.2
NY-025,Delaware County,New York,44.3,0.4,75,43.8
NY-027,Dutchess County,New York,48.6,0.9,91,47.8
NY-029,Erie County,New York,46.5,0.3,70,46.2
NY-031,Essex County,New York,41.4,1,93,40.4
NY-033,Franklin County,New York,41.4,1.1,96,40.3
NY-035,Fulton County,New York,44.1,0.4,81,43.7
NY-037,Genesee County,New York,46.6,0.5,81,46
NY-039,Greene County,New York,46,1,92,45
NY-041,Hamilton County,New York,40.4,0.6,86,39.8
NY-043,Herkimer County,New York,42.3,0.6,82,41.8
NY-045,Jefferson County,New York,44.1,0.5,79,43.6
NY-047,Kings County,New York,54.1,1,91,53
NY-049,Lewis County,New York,41.8,0.5,77,41.3
NY-051,Livingston County,New York,46.6,0.3,69,46.3
NY-053,Madison County,New York,44.7,0.6,81,44.1
NY-055,Monroe County,New York,47.2,0.3,71,46.9
NY-057,Montgomery County,New York,46.1,0.2,72,45.9
NY-059,Nassau County,New York,53.1,1.2,95,51.9
NY-061,New York County,New York,53.9,1,92,52.9
NY-063,Niagara County,New York,47.4,0.5,79,47
NY-065,Oneida County,New York,44.6,0.5,83,44
NY-067,Onondaga County,New York,46,0.3,69,45.7
NY-069,Ontario County,New York,46.6,0.3,68,46.3
NY-071,Orange County,New York,48.7,0.8,86,47.9
NY-073,Orleans County,New York,47,0.4,75,46.6
NY-075,Oswego County,New York,45.4,0.4,79,44.9
NY-077,Otsego County,New York,44.2,0.2,70,44
NY-079,Putnam County,New York,49.1,0.8,87,48.3
NY-081,Queens County,New York,53.7,1,90,52.7
NY-083,Rensselaer County,New York,46.4,0.7,87,45.7
NY-085,Richmond County,New York,54,1.2,96,52.8
NY-087,Rockland County,New York,50.8,1.1,95,49.7
NY-089,St. Lawrence County,New York,42.9,1,91,41.8
NY-091,Saratoga County,New York,45.5,0.6,82,44.9
NY-093,Schenectady County,New York,46.3,0.4,78,45.9
NY-095,Schoharie County,New York,44.8,0.3,75,44.5
NY-097,Schuyler County,New York,45.4,-0.1,52,45.5
NY-099,Seneca County,New York,47.2,0.2,63,47
NY-101,Steuben County,New York,44.9,-0.2,46,45.2
NY-103,Suffolk County,New York,51.6,1.2,95,50.3
NY-105,Sullivan County,New York,46,0.8,89,45.2
NY-107,Tioga County,New York,45.9,0,56,45.8
NY-109,Tompkins County,New York,45.5,-0.1,53,45.6
NY-111,Ulster County,New York,46.9,0.9,91,46
NY-113,Warren County,New York,42.9,0.7,85,42.3
NY-115,Washington County,New York,45.3,0.8,86,44.5
NY-117,Wayne County,New York,47.1,0.4,74,46.7
NY-119,Westchester County,New York,51.1,1,96,50
NY-121,Wyoming County,New York,45,0.3,71,44.7
NY-123,Yates County,New York,46.3,0.1,57,46.2
